bug_id,url,status,pass,opt_level,language,reproduces_llvm21,ub_verdict,confidence,version_bisect,pass_bisect,culprit_pass,instr_detected,check_type,healed,heal_strategy,origin
59679,https://github.com/llvm/llvm-project/issues/59679,OPEN,noalias/EarlyCSE,-O3,c,yes,compiler_bug,100,all_fail,bisected,EarlyCSEPass@32,yes,value_propagation,yes,function_optnone,llvm
116668,https://github.com/llvm/llvm-project/issues/116668,Closed,GVN/DSE,-O2,c,yes,compiler_bug,100,all_fail,bisected,JumpThreadingPass@71,yes,value_propagation,yes,function_optnone,llvm
127511,https://github.com/llvm/llvm-project/issues/127511,OPEN,GVN/SROA,-O2,c,yes,compiler_bug,100,all_fail,bisected,SROAPass@76,yes,value_propagation,yes,function_optnone,llvm
175018,https://github.com/llvm/llvm-project/issues/175018,OPEN,SimplifyCFG,-O1,cpp,yes,compiler_bug,100,all_fail,bisected,SimplifyCFGPass@140,prevention,n/a,yes,function_optnone,llvm
76789,https://github.com/llvm/llvm-project/issues/76789,Fixed,BasicAA/LICM,-O1,c,no(fixed),compiler_bug,100,all_fail,bisected,LICMPass@429,n/a,n/a,yes,function_optnone,llvm
72831,https://github.com/llvm/llvm-project/issues/72831,Fixed,DSE/BasicAA,-O2,c,no(fixed),compiler_bug,100,all_fail,bisected,DSEPass@222,n/a,n/a,yes,function_optnone,llvm
119173,https://github.com/llvm/llvm-project/issues/119173,Closed,LoopVectorize,-O3,c,no(fixed),compiler_bug,90,all_fail,bisected,LoopVectorizePass@87,n/a,n/a,yes,function_optnone,llvm
80113,https://github.com/llvm/llvm-project/issues/80113,Closed,BDCE/Reassociate,-O2,c,no(fixed),compiler_bug,100,all_fail,bisected,ReassociatePass@88,n/a,n/a,yes,function_optnone,llvm
94897,https://github.com/llvm/llvm-project/issues/94897,Closed,InstCombine,-O1,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@67,n/a,n/a,yes,function_optnone,llvm
124275,https://github.com/llvm/llvm-project/issues/124275,Closed,Analysis,-O1,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@14,n/a,n/a,yes,function_optnone,llvm
63996,https://github.com/llvm/llvm-project/issues/63996,Closed,EarlyTailDup,-O1,c,no(fixed),compiler_bug,90,all_fail,bisected,Early Tail Duplication@480,n/a,n/a,yes,function_optnone,llvm
64598,https://github.com/llvm/llvm-project/issues/64598,Closed,GVN,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,GVNPass@273,n/a,n/a,yes,function_optnone,llvm
56103,https://github.com/llvm/llvm-project/issues/56103,Closed,X86_backend,-O1,c,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
58765,https://github.com/llvm/llvm-project/issues/58765,OPEN,Unknown,-O1,c,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
72855,https://github.com/llvm/llvm-project/issues/72855,Closed,MachineLICM,-O1,c,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
114578,https://github.com/llvm/llvm-project/issues/114578,Closed,InstSimplify,-O2,c,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
