project,flag_label,baseline_exit,aggressive_exit,baseline_hash,aggressive_hash,status
mbedtls,O3_fastmath,0,0,19d63681edd2,19d63681edd2,ok
mbedtls,O3_strict_aliasing,0,0,19d63681edd2,19d63681edd2,ok
mbedtls,Os,0,0,19d63681edd2,19d63681edd2,ok
mbedtls,O3_lto,0,0,19d63681edd2,19d63681edd2,ok
mbedtls,O3_fastmath_fma,0,0,19d63681edd2,19d63681edd2,ok
lua,O3_fastmath,0,0,a2455c1b3821,a2455c1b3821,ok
lua,O3_strict_aliasing,0,0,a2455c1b3821,a2455c1b3821,ok
lua,Os,0,0,a2455c1b3821,a2455c1b3821,ok
lua,O3_lto,0,0,a2455c1b3821,d41d8cd98f00,build_fail
lua,O3_fastmath_fma,0,0,a2455c1b3821,a2455c1b3821,ok
sqlite,O3_fastmath,0,0,3c9c6555c562,3c9c6555c562,ok
sqlite,O3_strict_aliasing,0,0,3c9c6555c562,3c9c6555c562,ok
sqlite,Os,0,0,3c9c6555c562,3c9c6555c562,ok
sqlite,O3_lto,0,0,3c9c6555c562,d41d8cd98f00,build_fail
sqlite,O3_fastmath_fma,0,0,3c9c6555c562,3c9c6555c562,ok
tcc,O3_fastmath,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
tcc,O3_strict_aliasing,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
tcc,Os,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
tcc,O3_lto,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
tcc,O3_fastmath_fma,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
zlib,O3_fastmath,0,0,765e3908c5f5,765e3908c5f5,ok
zlib,O3_strict_aliasing,0,0,765e3908c5f5,765e3908c5f5,ok
zlib,Os,0,0,765e3908c5f5,765e3908c5f5,ok
zlib,O3_lto,0,0,765e3908c5f5,765e3908c5f5,ok
zlib,O3_fastmath_fma,0,0,765e3908c5f5,765e3908c5f5,ok
lz4,O3_fastmath,0,0,5469cae6a948,5469cae6a948,ok
lz4,O3_strict_aliasing,0,0,5469cae6a948,5469cae6a948,ok
lz4,Os,0,0,5469cae6a948,5469cae6a948,ok
lz4,O3_lto,0,0,5469cae6a948,5469cae6a948,ok
lz4,O3_fastmath_fma,0,0,5469cae6a948,5469cae6a948,ok
cjson,O3_fastmath,0,0,aef741a39bdb,746b185bad8e,CANDIDATE_output
cjson,O3_strict_aliasing,0,0,aef741a39bdb,aef741a39bdb,ok
cjson,Os,0,0,aef741a39bdb,aef741a39bdb,ok
cjson,O3_lto,0,0,aef741a39bdb,d41d8cd98f00,build_fail
cjson,O3_fastmath_fma,0,0,aef741a39bdb,746b185bad8e,CANDIDATE_output
brotli,O3_fastmath,0,0,e52cad746109,e52cad746109,ok
brotli,O3_strict_aliasing,0,0,e52cad746109,e52cad746109,ok
brotli,Os,0,0,e52cad746109,e52cad746109,ok
brotli,O3_lto,0,0,e52cad746109,e52cad746109,ok
brotli,O3_fastmath_fma,0,0,e52cad746109,e52cad746109,ok
zstd,O3_fastmath,0,0,e52cad746109,e52cad746109,ok
zstd,O3_strict_aliasing,0,0,e52cad746109,e52cad746109,ok
zstd,Os,0,0,e52cad746109,e52cad746109,ok
zstd,O3_lto,0,0,e52cad746109,e52cad746109,ok
zstd,O3_fastmath_fma,0,0,e52cad746109,e52cad746109,ok
yyjson,O3_fastmath,0,0,074ec042fcef,074ec042fcef,ok
yyjson,O3_strict_aliasing,0,0,074ec042fcef,074ec042fcef,ok
yyjson,Os,0,0,074ec042fcef,074ec042fcef,ok
yyjson,O3_lto,0,0,074ec042fcef,074ec042fcef,ok
yyjson,O3_fastmath_fma,0,0,074ec042fcef,074ec042fcef,ok
xxhash,O3_fastmath,0,0,bc39031e41cc,bc39031e41cc,ok
xxhash,O3_strict_aliasing,0,0,bc39031e41cc,bc39031e41cc,ok
xxhash,Os,0,0,bc39031e41cc,bc39031e41cc,ok
xxhash,O3_lto,0,0,bc39031e41cc,bc39031e41cc,ok
xxhash,O3_fastmath_fma,0,0,bc39031e41cc,bc39031e41cc,ok
dr_libs,O3_fastmath,0,0,d75a3b019c7b,d75a3b019c7b,ok
dr_libs,O3_strict_aliasing,0,0,d75a3b019c7b,d75a3b019c7b,ok
dr_libs,Os,0,0,d75a3b019c7b,d75a3b019c7b,ok
dr_libs,O3_lto,0,0,d75a3b019c7b,d75a3b019c7b,ok
dr_libs,O3_fastmath_fma,0,0,d75a3b019c7b,d75a3b019c7b,ok
miniaudio,O3_fastmath,0,0,634d6b7040a2,634d6b7040a2,ok
miniaudio,O3_strict_aliasing,0,0,634d6b7040a2,634d6b7040a2,ok
miniaudio,Os,0,0,634d6b7040a2,634d6b7040a2,ok
miniaudio,O3_lto,0,0,634d6b7040a2,634d6b7040a2,ok
miniaudio,O3_fastmath_fma,0,0,634d6b7040a2,634d6b7040a2,ok
lodepng,O3_fastmath,0,0,04760a60a8d4,04760a60a8d4,ok
lodepng,O3_strict_aliasing,0,0,04760a60a8d4,04760a60a8d4,ok
lodepng,Os,0,0,04760a60a8d4,04760a60a8d4,ok
lodepng,O3_lto,0,0,04760a60a8d4,04760a60a8d4,ok
lodepng,O3_fastmath_fma,0,0,04760a60a8d4,04760a60a8d4,ok
giflib,O3_fastmath,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
giflib,O3_strict_aliasing,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
giflib,Os,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
giflib,O3_lto,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
giflib,O3_fastmath_fma,0,0,d41d8cd98f00,d41d8cd98f00,build_fail
tinyexpr,O3_fastmath,0,1,c1286f34241b,0e9368d16e84,CANDIDATE_exit
tinyexpr,O3_strict_aliasing,0,0,c1286f34241b,c1286f34241b,ok
tinyexpr,Os,0,0,c1286f34241b,c1286f34241b,ok
tinyexpr,O3_lto,0,0,c1286f34241b,c1286f34241b,ok
tinyexpr,O3_fastmath_fma,0,1,c1286f34241b,0e9368d16e84,CANDIDATE_exit
libdeflate,O3_fastmath,0,0,c8185d5c4da8,c8185d5c4da8,ok
libdeflate,O3_strict_aliasing,0,0,c8185d5c4da8,c8185d5c4da8,ok
libdeflate,Os,0,0,c8185d5c4da8,c8185d5c4da8,ok
libdeflate,O3_lto,0,0,c8185d5c4da8,c8185d5c4da8,ok
libdeflate,O3_fastmath_fma,0,0,c8185d5c4da8,c8185d5c4da8,ok
duktape,O3_fastmath,0,0,60778b1475f2,d41d8cd98f00,build_fail
duktape,O3_strict_aliasing,0,0,60778b1475f2,60778b1475f2,ok
duktape,Os,0,0,60778b1475f2,60778b1475f2,ok
duktape,O3_lto,0,0,60778b1475f2,60778b1475f2,ok
duktape,O3_fastmath_fma,0,0,60778b1475f2,d41d8cd98f00,build_fail
mruby,O3_fastmath,0,0,e8c2857e3064,e8c2857e3064,ok
mruby,O3_strict_aliasing,0,0,e8c2857e3064,e8c2857e3064,ok
mruby,Os,0,0,e8c2857e3064,e8c2857e3064,ok
mruby,O3_lto,0,0,e8c2857e3064,d41d8cd98f00,build_fail
mruby,O3_fastmath_fma,0,0,e8c2857e3064,e8c2857e3064,ok
monocypher,O3_fastmath,0,0,8ccf90fd7447,8ccf90fd7447,ok
monocypher,O3_strict_aliasing,0,0,8ccf90fd7447,8ccf90fd7447,ok
monocypher,Os,0,0,8ccf90fd7447,8ccf90fd7447,ok
monocypher,O3_lto,0,0,8ccf90fd7447,8ccf90fd7447,ok
monocypher,O3_fastmath_fma,0,0,8ccf90fd7447,8ccf90fd7447,ok
libsodium,O3_fastmath,0,0,288b94e0fd4e,288b94e0fd4e,ok
libsodium,O3_strict_aliasing,0,0,288b94e0fd4e,288b94e0fd4e,ok
libsodium,Os,0,0,288b94e0fd4e,288b94e0fd4e,ok
libsodium,O3_lto,0,0,288b94e0fd4e,288b94e0fd4e,ok
libsodium,O3_fastmath_fma,0,0,288b94e0fd4e,288b94e0fd4e,ok
simdjson,O3_fastmath,0,0,8518683682f7,8518683682f7,ok
simdjson,O3_strict_aliasing,0,0,8518683682f7,8518683682f7,ok
simdjson,Os,0,0,8518683682f7,8518683682f7,ok
simdjson,O3_lto,0,0,8518683682f7,8518683682f7,ok
simdjson,O3_fastmath_fma,0,0,8518683682f7,8518683682f7,ok
fmt,O3_fastmath,0,1,d9c9c7739ee4,568e362d845c,CANDIDATE_exit
fmt,O3_strict_aliasing,0,0,d9c9c7739ee4,d9c9c7739ee4,ok
fmt,Os,0,0,d9c9c7739ee4,d9c9c7739ee4,ok
fmt,O3_lto,0,0,d9c9c7739ee4,d9c9c7739ee4,ok
fmt,O3_fastmath_fma,0,1,d9c9c7739ee4,568e362d845c,CANDIDATE_exit
glm,O3_fastmath,0,0,1ae5836243d1,1ae5836243d1,ok
glm,O3_strict_aliasing,0,0,1ae5836243d1,1ae5836243d1,ok
glm,Os,0,0,1ae5836243d1,1ae5836243d1,ok
glm,O3_lto,0,0,1ae5836243d1,1ae5836243d1,ok
glm,O3_fastmath_fma,0,0,1ae5836243d1,1ae5836243d1,ok
