project,flag_label,baseline_exit,aggressive_exit,baseline_hash,aggressive_hash,status
lua,O3_fastmath,0,0,a2455c1b,a2455c1b,ok
lua,O3_strict_aliasing,0,0,a2455c1b,a2455c1b,ok
lua,Os,0,0,a2455c1b,a2455c1b,ok
lua,O3_lto,0,0,a2455c1b,d41d8cd9,build_fail
lua,O3_fastmath_fma,0,0,a2455c1b,a2455c1b,ok
sqlite,O3_fastmath,0,0,3c9c6555,3c9c6555,ok
sqlite,O3_strict_aliasing,0,0,3c9c6555,3c9c6555,ok
sqlite,Os,0,0,3c9c6555,3c9c6555,ok
sqlite,O3_lto,0,0,3c9c6555,d41d8cd9,build_fail
sqlite,O3_fastmath_fma,0,0,3c9c6555,3c9c6555,ok
tcc,O0_baseline,0,-,-,-,build_fail
zlib,O3_fastmath,0,0,605e7624,605e7624,ok
zlib,O3_strict_aliasing,0,0,605e7624,605e7624,ok
zlib,Os,0,0,605e7624,605e7624,ok
zlib,O3_lto,0,0,605e7624,605e7624,ok
zlib,O3_fastmath_fma,0,0,605e7624,605e7624,ok
lz4,O3_fastmath,0,0,5469cae6,5469cae6,ok
lz4,O3_strict_aliasing,0,0,5469cae6,5469cae6,ok
lz4,Os,0,0,5469cae6,5469cae6,ok
lz4,O3_lto,0,0,5469cae6,5469cae6,ok
lz4,O3_fastmath_fma,0,0,5469cae6,5469cae6,ok
cjson,O3_fastmath,0,0,aef741a3,DIFFERS,CANDIDATE_output
cjson,O3_strict_aliasing,0,0,aef741a3,aef741a3,ok
cjson,Os,0,0,aef741a3,aef741a3,ok
cjson,O3_lto,0,0,aef741a3,d41d8cd9,build_fail
cjson,O3_fastmath_fma,0,0,aef741a3,DIFFERS,CANDIDATE_output
brotli,O3_fastmath,0,0,e52cad74,e52cad74,ok
brotli,O3_strict_aliasing,0,0,e52cad74,e52cad74,ok
brotli,Os,0,0,e52cad74,e52cad74,ok
brotli,O3_lto,0,0,e52cad74,e52cad74,ok
brotli,O3_fastmath_fma,0,0,e52cad74,e52cad74,ok
zstd,O3_fastmath,0,0,e52cad74,e52cad74,ok
zstd,O3_strict_aliasing,0,0,e52cad74,e52cad74,ok
zstd,Os,0,0,e52cad74,e52cad74,ok
zstd,O3_lto,0,0,e52cad74,e52cad74,ok
zstd,O3_fastmath_fma,0,0,e52cad74,e52cad74,ok
yyjson,O3_fastmath,0,0,074ec042,074ec042,ok
yyjson,O3_strict_aliasing,0,0,074ec042,074ec042,ok
yyjson,Os,0,0,074ec042,074ec042,ok
yyjson,O3_lto,0,0,074ec042,074ec042,ok
yyjson,O3_fastmath_fma,0,0,074ec042,074ec042,ok
xxhash,O3_fastmath,0,0,bc39031e,bc39031e,ok
xxhash,O3_strict_aliasing,0,0,bc39031e,bc39031e,ok
xxhash,Os,0,0,bc39031e,bc39031e,ok
xxhash,O3_lto,0,0,bc39031e,bc39031e,ok
xxhash,O3_fastmath_fma,0,0,bc39031e,bc39031e,ok
dr_libs,O3_fastmath,0,0,d75a3b01,d75a3b01,ok
dr_libs,O3_strict_aliasing,0,0,d75a3b01,d75a3b01,ok
